EmployeeID,Total Hours Worked,JobInvolvement,PerformanceRating,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
21,1884.8000000000004,3,3,26,0,1,1,1,4,4,1,2,2,0,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0
22,1503.0,2,4,50,0,2,2,8,4,1,1,1,6,0,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0
23,2096.2,3,3,53,0,2,1,11,4,1,0,2,6,1,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0
24,1705.6,1,3,42,0,2,1,4,4,1,1,1,4,1,89260,1.0,14,0,10.0,4,20,11,6,2.0,3.0,3.0
25,1773.0000000000002,3,3,29,0,1,1,16,4,3,1,1,2,2,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0
26,2330.0,3,3,55,0,2,1,1,4,4,0,1,6,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0
27,2734.6000000000004,3,4,26,0,1,1,9,3,1,0,1,3,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0
28,1882.3999999999999,3,3,37,0,2,2,5,1,2,1,1,6,2,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0
29,2736.2000000000007,2,3,44,1,1,1,1,2,3,1,2,6,0,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0
30,1699.5999999999997,2,3,38,0,2,2,2,3,2,0,1,3,0,44480,9.0,12,0,10.0,3,2,1,2,4.0,4.0,3.0
31,2517.4000000000005,2,3,26,1,2,1,4,3,3,1,3,6,0,68540,2.0,11,0,5.0,5,3,0,2,1.0,2.0,3.0
32,1664.1999999999996,2,3,28,0,2,1,7,3,4,1,1,1,2,96370,1.0,13,0,5.0,6,5,0,2,4.0,4.0,3.0
33,2614.2000000000003,3,3,49,0,1,1,1,1,3,0,2,6,2,35910,9.0,13,0,22.0,2,3,1,2,3.0,1.0,3.0
34,1540.6,3,3,36,0,2,2,5,3,5,1,3,7,2,54050,4.0,14,0,10.0,2,8,7,7,3.0,2.0,3.0
35,1640.2,3,3,31,0,1,1,9,4,3,1,1,7,0,46840,1.0,16,1,2.0,4,2,2,2,4.0,2.0,2.0
36,2571.9999999999995,3,3,26,1,2,1,8,3,3,1,2,3,2,157870,1.0,12,2,8.0,5,8,7,4,4.0,4.0,3.0
37,2480.0,3,3,37,0,1,2,9,1,2,1,1,2,1,15140,1.0,14,0,4.0,3,4,1,2,2.0,4.0,2.0
38,1498.5999999999997,3,3,42,0,1,2,2,2,2,1,3,5,1,29560,5.0,13,0,23.0,2,20,4,8,3.0,2.0,4.0
39,1682.9999999999998,2,3,18,1,2,1,1,4,1,1,1,7,2,23350,1.0,14,2,0.0,3,0,0,0,3.0,3.0,3.0
40,1916.6,2,3,35,0,2,2,20,2,1,1,1,2,1,51540,0.0,19,0,12.0,2,11,6,9,3.0,2.0,2.0
41,1792.3999999999999,2,3,36,0,1,1,8,3,4,0,3,7,1,69620,4.0,12,2,4.0,2,1,0,0,3.0,4.0,3.0
42,1879.8000000000002,2,3,51,0,2,1,2,3,1,1,2,2,0,56750,5.0,13,0,13.0,2,4,1,2,4.0,2.0,3.0
43,1721.8,3,3,41,0,2,1,29,1,1,1,1,2,2,23790,1.0,12,0,22.0,6,22,0,4,4.0,2.0,3.0
44,1747.2,3,3,18,0,2,2,7,3,1,1,1,6,2,38120,1.0,15,0,0.0,3,0,0,0,4.0,3.0,3.0
45,1804.6000000000001,2,4,28,0,2,1,9,3,3,1,1,8,2,46480,0.0,23,2,9.0,2,8,0,7,2.0,1.0,3.0
46,1786.8000000000002,3,3,31,0,2,1,8,1,5,1,1,4,1,29360,4.0,12,1,10.0,2,8,7,7,2.0,4.0,2.0
47,1895.0,3,4,39,0,2,2,5,4,2,0,2,1,0,21050,0.0,20,0,19.0,3,18,3,7,3.0,4.0,2.0
48,1949.8,3,4,36,0,0,1,5,4,1,1,1,7,1,85780,7.0,21,0,11.0,4,9,0,8,2.0,2.0,3.0
49,1730.8000000000002,3,4,32,0,2,2,2,3,2,1,2,2,1,27060,1.0,21,1,13.0,4,13,4,8,4.0,3.0,2.0
50,1709.1999999999998,2,3,38,0,2,1,5,2,1,0,3,6,1,63840,3.0,19,2,19.0,4,10,0,1,1.0,2.0,3.0
51,2715.2000000000003,2,3,58,0,0,1,2,3,1,1,2,4,0,39680,2.0,13,2,12.0,3,5,1,2,4.0,3.0,3.0
52,2289.4,2,3,31,0,2,1,20,1,5,0,3,6,1,99070,0.0,13,1,6.0,3,5,0,3,3.0,4.0,3.0
53,1695.8,3,4,31,0,2,2,7,4,2,1,2,7,1,132250,3.0,21,1,9.0,2,2,1,0,1.0,1.0,3.0
54,1820.2000000000005,3,3,45,0,1,1,3,1,3,0,1,7,0,35400,1.0,13,0,24.0,6,24,9,11,1.0,1.0,3.0
55,2146.6,3,3,31,0,2,2,16,4,2,0,2,6,0,28040,0.0,19,2,3.0,0,2,2,2,3.0,4.0,1.0
56,1688.9999999999995,3,3,33,0,1,1,9,3,1,1,4,5,1,193920,6.0,12,1,12.0,3,10,8,8,4.0,2.0,3.0
57,2744.2,3,4,39,0,2,2,1,4,1,1,1,7,1,196650,1.0,22,1,21.0,6,21,11,10,3.0,1.0,3.0
58,1913.3999999999999,3,3,43,0,1,1,7,4,3,1,4,6,2,24390,0.0,15,0,9.0,2,8,1,7,3.0,4.0,3.0
59,2476.0,3,4,49,0,2,1,1,3,1,1,3,4,2,73140,7.0,22,0,25.0,2,7,0,7,3.0,3.0,3.0
60,1971.7999999999995,3,3,52,1,2,1,7,1,1,0,2,6,1,47740,2.0,18,1,11.0,2,8,7,7,3.0,2.0,2.0
61,2649.8,3,4,27,0,2,1,15,4,3,1,3,6,2,39020,1.0,22,0,4.0,2,4,1,2,3.0,2.0,2.0
62,2615.4,4,3,32,0,2,1,1,3,1,1,3,6,1,26620,1.0,11,1,13.0,6,13,11,9,3.0,2.0,3.0
63,2506.6,4,3,27,0,2,1,13,2,3,0,4,5,2,28560,1.0,12,2,5.0,5,5,0,4,4.0,3.0,3.0
64,1645.3999999999999,4,3,31,0,2,2,24,3,1,1,2,0,0,10810,4.0,11,3,13.0,4,7,1,7,4.0,4.0,3.0
65,1872.4,3,3,32,0,2,1,7,3,5,1,2,0,2,24720,7.0,13,0,10.0,2,7,0,7,1.0,4.0,2.0
66,2665.6,2,3,28,1,2,1,9,4,3,1,1,7,1,56730,5.0,14,1,5.0,4,3,2,2,1.0,4.0,2.0
67,1537.6000000000004,3,3,30,0,2,1,13,3,1,0,4,5,1,41970,1.0,13,0,11.0,3,10,1,9,4.0,4.0,3.0
68,1636.7999999999997,2,3,31,0,1,1,2,1,1,0,1,3,1,97130,1.0,17,0,10.0,5,10,8,9,3.0,3.0,3.0
69,1520.0000000000002,3,3,39,0,1,1,19,4,3,0,1,6,1,20620,1.0,13,0,21.0,4,21,13,3,3.0,4.0,3.0
70,2484.8,3,3,39,1,2,1,1,1,3,0,1,2,1,42840,4.0,17,1,12.0,0,1,0,0,4.0,3.0,2.0
71,1845.8000000000004,3,3,33,0,1,2,4,2,1,1,4,6,2,47880,3.0,11,1,9.0,0,7,0,1,2.0,4.0,2.0
72,1614.2,4,4,47,0,2,1,4,3,1,0,2,0,1,59060,4.0,23,0,21.0,4,3,1,1,4.0,3.0,3.0
73,1572.6000000000001,3,3,43,0,1,1,14,3,3,0,5,5,0,38860,1.0,17,2,9.0,2,9,0,0,3.0,3.0,4.0
74,2314.2000000000003,3,3,27,0,0,1,2,3,1,1,1,5,1,168230,0.0,17,0,6.0,3,5,1,4,3.0,2.0,3.0
75,1505.2,3,3,54,0,1,1,1,4,1,1,2,6,2,29330,3.0,12,2,20.0,2,4,0,3,4.0,3.0,2.0
76,1794.0000000000002,3,4,43,0,2,1,7,2,1,0,2,3,1,65000,8.0,23,0,10.0,3,1,0,0,3.0,1.0,2.0
77,1772.0,3,3,45,0,2,2,3,1,2,0,1,7,1,171740,9.0,14,1,12.0,6,10,9,8,4.0,4.0,3.0
78,2458.8,3,3,40,0,2,1,2,4,4,1,4,6,1,50330,2.0,14,2,6.0,6,4,0,2,2.0,4.0,2.0
79,2610.2000000000003,3,3,29,1,2,1,29,3,3,0,1,6,1,23070,1.0,13,1,7.0,0,7,0,7,2.0,1.0,2.0
80,1701.6,3,4,29,0,2,0,8,3,3,1,3,8,2,25870,0.0,22,2,4.0,3,3,2,2,2.0,4.0,3.0
81,1895.8,2,3,30,0,2,1,10,3,1,1,2,6,0,55070,1.0,12,2,10.0,2,10,1,2,4.0,3.0,3.0
82,1513.2,2,3,27,0,2,1,11,2,3,1,1,3,1,43930,1.0,18,1,8.0,2,8,0,7,2.0,2.0,3.0
83,1507.6000000000001,3,3,37,0,2,2,1,4,1,1,2,0,0,133480,7.0,14,0,8.0,4,6,0,4,4.0,4.0,2.0
84,2229.4,3,3,38,0,2,1,28,4,3,1,1,2,0,65830,0.0,12,0,12.0,1,11,2,9,3.0,4.0,3.0
85,2584.2,3,3,31,0,2,1,6,3,3,0,3,3,2,81030,1.0,15,1,11.0,5,11,4,10,3.0,4.0,3.0
86,2099.2,3,3,29,0,2,1,3,4,1,1,3,7,0,39780,1.0,11,0,7.0,0,7,1,7,4.0,2.0,3.0
87,1971.8,4,3,35,0,2,2,16,2,5,1,3,3,2,25440,0.0,13,1,17.0,3,16,0,13,3.0,2.0,3.0
88,1769.2,2,4,23,0,2,1,20,4,1,1,1,4,0,53990,1.0,23,0,4.0,2,4,0,2,3.0,4.0,2.0
89,2401.6,3,3,41,0,2,1,9,2,1,0,1,2,2,54870,6.0,19,2,8.0,0,5,1,2,4.0,2.0,3.0
90,1943.4,4,3,47,0,1,2,1,3,3,0,2,2,2,68340,3.0,16,1,5.0,2,0,0,0,2.0,3.0,3.0
91,1565.8000000000002,1,4,42,0,2,1,3,4,1,1,1,3,2,10910,2.0,22,0,16.0,0,1,0,0,1.0,4.0,3.0
92,1558.6000000000004,2,4,29,0,0,2,22,4,2,1,2,1,1,57360,1.0,22,0,4.0,1,4,0,2,4.0,3.0,2.0
93,2193.3999999999996,2,3,42,0,2,2,7,4,3,1,3,6,0,22260,0.0,12,1,4.0,3,3,1,0,3.0,3.0,3.0
94,1927.4,3,3,32,0,2,1,2,3,3,1,2,6,1,57470,1.0,13,0,8.0,0,8,0,7,3.0,2.0,3.0
95,1815.6000000000001,2,3,48,0,2,2,13,4,3,1,4,7,1,98540,3.0,16,1,15.0,2,0,0,0,1.0,3.0,1.0
96,2691.3999999999996,3,3,37,0,2,1,8,5,5,1,2,4,0,54670,4.0,12,0,13.0,2,7,6,7,3.0,1.0,3.0
97,2600.0,3,4,30,0,0,2,25,4,4,1,1,0,1,53800,7.0,21,1,4.0,0,2,2,2,4.0,3.0,4.0
98,1502.4,3,3,26,0,2,2,28,3,3,0,5,2,1,51510,1.0,15,3,8.0,3,8,7,7,3.0,3.0,3.0
99,1529.0,3,3,42,0,2,2,2,2,3,0,1,2,2,21330,3.0,13,2,14.0,2,1,0,0,1.0,4.0,3.0
100,2030.8,2,3,21,1,1,1,9,3,3,0,4,4,2,178750,1.0,12,0,3.0,5,3,1,2,1.0,2.0,3.0
101,1814.0000000000005,1,4,36,0,0,0,28,3,0,1,2,2,2,24320,4.0,22,0,7.0,4,1,0,0,4.0,4.0,3.0
102,1766.6000000000001,3,3,36,0,1,1,6,3,1,0,2,6,1,47710,4.0,13,1,16.0,2,13,1,12,1.0,4.0,3.0
103,1571.6000000000001,1,3,57,0,2,1,21,4,1,1,5,6,1,191610,2.0,18,0,15.0,2,3,1,2,4.0,3.0,3.0
104,2018.3999999999999,3,3,40,0,2,1,8,3,4,1,2,7,1,50870,3.0,14,1,10.0,3,7,1,7,4.0,3.0,3.0
105,1987.0,1,3,21,0,0,1,1,5,1,0,2,3,2,28630,1.0,14,0,3.0,2,3,2,2,1.0,4.0,2.0
106,2614.5999999999995,1,4,33,1,2,0,28,2,0,0,5,3,2,55610,1.0,21,1,1.0,3,1,0,0,4.0,3.0,3.0
107,2003.8,4,3,37,0,2,1,5,3,1,1,4,6,1,21440,6.0,19,0,17.0,3,5,0,3,3.0,1.0,3.0
108,1519.8000000000002,3,3,46,0,0,2,2,4,2,0,2,2,1,30650,2.0,11,0,7.0,3,1,0,0,3.0,3.0,4.0
109,1885.8,4,3,41,1,1,1,16,1,3,0,1,6,2,28100,1.0,11,0,8.0,3,8,7,7,1.0,2.0,3.0
110,1717.6,3,3,50,0,2,1,9,3,3,0,3,2,2,98880,6.0,15,0,20.0,2,4,1,3,4.0,4.0,3.0
111,2318.8,2,4,40,1,2,1,8,3,3,0,1,0,1,86280,2.0,20,0,8.0,2,6,1,0,3.0,3.0,3.0
112,2682.8,3,4,31,0,2,1,1,3,1,1,4,1,2,28670,0.0,24,0,3.0,5,2,2,2,3.0,2.0,3.0
113,1493.2,3,3,21,1,2,0,10,2,0,1,1,2,2,53730,1.0,12,1,1.0,2,1,0,0,3.0,2.0,3.0
114,1946.3999999999999,4,3,29,0,2,1,1,3,1,0,2,5,2,66670,9.0,12,1,6.0,6,3,1,2,4.0,4.0,3.0
115,1921.5999999999997,3,3,35,0,2,1,29,3,1,0,3,7,2,50030,9.0,15,0,10.0,2,1,0,0,3.0,2.0,3.0
116,1536.0,3,3,27,0,2,2,2,3,1,1,1,7,0,23670,2.0,12,1,5.0,2,5,0,4,4.0,2.0,3.0
117,1777.6000000000001,2,3,28,0,2,1,2,2,3,1,3,3,2,28580,1.0,12,0,7.0,2,7,0,7,2.0,4.0,3.0
118,1945.3999999999996,3,3,49,0,2,2,2,3,5,1,2,4,2,52040,8.0,14,1,26.0,3,5,0,0,2.0,3.0,3.0
119,1897.1999999999998,3,4,51,0,2,1,1,2,1,1,1,7,1,41050,4.0,22,1,18.0,2,7,0,7,3.0,4.0,2.0
120,1498.4,3,3,36,0,2,2,15,2,1,1,1,7,1,96790,4.0,12,0,6.0,1,2,2,2,4.0,3.0,3.0
121,2276.0,3,4,34,1,0,1,7,3,1,1,1,8,2,56170,8.0,25,1,9.0,3,5,0,4,1.0,4.0,2.0
122,2155.2,3,3,55,0,2,2,26,3,2,1,1,2,2,104480,2.0,13,0,30.0,3,5,1,2,3.0,4.0,3.0
123,2499.4,3,3,24,0,2,1,1,3,1,0,5,3,0,28970,1.0,18,3,5.0,4,5,0,3,4.0,3.0,4.0
124,1724.2,3,3,30,0,2,1,3,3,1,0,2,3,1,59680,1.0,13,0,1.0,3,1,0,0,3.0,2.0,3.0
125,1739.0,3,3,26,1,1,2,14,3,1,1,2,3,2,75100,0.0,18,3,7.0,3,6,0,4,3.0,4.0,3.0
126,1567.4,2,3,22,0,2,1,16,5,4,1,1,6,1,29910,1.0,19,2,2.0,3,2,1,2,1.0,2.0,3.0
127,1591.0000000000002,3,3,36,0,2,1,1,3,3,0,5,0,1,196360,1.0,12,1,10.0,3,10,9,0,2.0,3.0,3.0
128,2051.6000000000004,2,3,30,1,1,2,3,2,2,1,3,6,2,11290,9.0,19,0,3.0,2,1,0,0,3.0,4.0,3.0
129,1615.8,3,3,37,0,2,1,10,1,5,1,1,7,0,133410,1.0,14,1,18.0,3,18,12,17,4.0,1.0,2.0
130,1656.6000000000001,2,3,40,0,2,1,6,2,3,1,3,6,0,43320,7.0,14,2,8.0,3,5,1,3,4.0,2.0,3.0
131,1860.9999999999995,2,3,42,0,2,1,2,3,3,0,4,3,0,110310,3.0,12,1,8.0,2,5,1,2,2.0,1.0,3.0
132,2469.2,2,3,37,0,2,2,9,1,2,1,3,7,2,44400,2.0,11,1,18.0,3,1,0,1,3.0,2.0,2.0
133,1858.0000000000002,3,3,43,0,2,2,10,2,1,0,1,7,0,46170,1.0,11,0,25.0,2,25,3,9,1.0,2.0,3.0
134,1868.8000000000002,2,3,40,0,2,2,6,2,1,0,1,2,1,26470,6.0,13,0,20.0,2,1,0,0,2.0,3.0,3.0
135,1494.4000000000003,2,4,54,0,2,0,9,3,1,0,2,4,1,63230,4.0,23,1,24.0,2,4,1,2,1.0,1.0,2.0
136,1699.5999999999997,3,4,34,0,0,1,28,3,3,1,1,2,1,56770,9.0,20,1,6.0,3,3,1,2,3.0,3.0,3.0
137,1531.8,2,3,31,0,2,1,10,4,1,1,3,7,1,21870,1.0,15,1,13.0,2,13,3,12,2.0,1.0,1.0
138,1900.3999999999994,2,3,43,0,1,2,14,3,1,0,1,4,1,37480,7.0,14,2,10.0,3,3,1,2,4.0,4.0,3.0
139,2216.3999999999996,3,3,43,0,2,2,27,4,1,1,2,8,0,39770,4.0,18,1,8.0,3,5,0,2,3.0,3.0,3.0
140,2703.6,4,3,25,0,2,0,7,2,0,1,1,4,2,86330,1.0,19,1,5.0,2,5,1,3,2.0,4.0,3.0
141,2654.4000000000005,2,4,37,0,0,1,1,3,3,1,3,2,1,20080,3.0,22,0,15.0,5,13,10,7,2.0,3.0,3.0
142,1744.9999999999998,3,3,31,0,2,1,24,1,3,1,3,2,1,44400,1.0,13,1,4.0,2,4,3,2,4.0,1.0,3.0
143,2245.6,1,4,39,0,1,1,26,4,5,0,1,7,0,30670,1.0,20,1,21.0,5,21,1,6,2.0,3.0,3.0
144,1832.2,3,3,56,0,1,1,20,4,1,0,3,7,1,53210,9.0,14,0,36.0,1,7,7,7,3.0,1.0,2.0
145,1896.6,3,3,30,0,2,2,5,4,3,0,2,4,2,54100,0.0,17,1,6.0,2,5,4,4,2.0,3.0,3.0
146,1637.3999999999999,2,3,41,0,2,1,7,3,5,0,3,6,1,27820,1.0,14,0,10.0,2,10,0,7,2.0,1.0,3.0
147,1548.0000000000002,2,3,28,0,2,1,7,3,3,1,3,0,0,119570,1.0,13,0,10.0,2,10,1,8,3.0,1.0,3.0
148,1604.6000000000001,3,3,25,1,2,1,5,2,1,0,3,2,1,26600,5.0,13,0,6.0,3,2,0,2,1.0,1.0,3.0
149,2047.4,2,4,52,0,2,1,26,2,1,0,2,8,1,33750,2.0,21,0,28.0,2,5,0,4,4.0,3.0,3.0
150,1682.3999999999999,3,3,45,0,2,1,2,3,3,0,1,7,1,50980,3.0,14,1,8.0,4,2,0,2,1.0,4.0,2.0
151,1831.4000000000005,3,3,52,0,2,1,12,3,3,1,2,6,1,48780,2.0,11,1,31.0,3,5,1,4,4.0,4.0,1.0
152,1705.4,2,3,42,0,1,2,10,3,2,0,2,0,0,28370,2.0,13,1,19.0,0,5,0,2,1.0,3.0,3.0
153,1817.6000000000001,3,4,30,0,2,2,25,3,2,1,1,7,2,24060,2.0,20,1,11.0,5,5,0,2,3.0,4.0,3.0
154,1538.6000000000001,3,3,60,0,2,1,10,3,1,0,1,4,1,22690,5.0,18,1,33.0,4,29,11,10,1.0,1.0,1.0
155,1885.6,2,3,46,0,2,2,19,4,2,0,1,7,0,41080,2.0,14,0,19.0,5,10,0,8,3.0,3.0,2.0
156,1634.7999999999997,3,3,42,0,1,1,18,4,5,1,4,7,1,132060,0.0,13,2,7.0,2,6,0,4,4.0,4.0,4.0
157,2645.2000000000003,2,3,24,1,2,1,27,2,3,1,1,6,2,104220,1.0,17,1,6.0,0,5,1,4,1.0,2.0,3.0
158,1536.6000000000001,3,4,34,1,1,1,5,3,3,1,2,6,0,137440,0.0,20,1,3.0,3,2,1,0,4.0,3.0,2.0
159,2130.2000000000003,3,3,38,0,1,2,3,3,2,0,2,7,1,49070,1.0,11,1,1.0,3,1,0,0,4.0,4.0,3.0
160,1495.8,2,3,40,0,2,2,26,4,2,0,1,7,1,34820,0.0,18,1,21.0,2,20,1,12,3.0,3.0,3.0
161,1567.6000000000001,4,4,26,0,2,1,3,2,3,0,4,0,0,24360,1.0,24,0,3.0,2,3,0,2,1.0,4.0,1.0
162,1959.8000000000002,2,3,30,0,0,1,15,3,3,0,2,7,1,23800,4.0,18,3,9.0,2,5,1,4,3.0,4.0,1.0
163,1786.0,3,3,29,0,2,1,8,3,3,0,3,4,1,194310,1.0,11,0,10.0,3,10,0,7,2.0,3.0,3.0
164,1650.0,2,3,29,1,2,1,19,4,1,1,3,6,1,17900,5.0,16,1,6.0,4,2,1,1,3.0,2.0,4.0
165,1953.6000000000001,3,3,19,1,2,1,4,3,3,1,1,7,2,76440,1.0,15,2,1.0,2,1,0,0,1.0,4.0,4.0
166,1675.0000000000002,3,3,30,0,0,1,2,4,1,0,3,6,1,51310,0.0,15,1,10.0,2,9,7,8,3.0,1.0,3.0
167,1568.0000000000005,3,3,57,0,2,1,2,2,1,1,4,6,0,63060,3.0,12,1,32.0,3,1,0,0,1.0,4.0,2.0
168,1801.4,3,3,50,0,2,2,10,4,1,0,3,3,1,47870,0.0,12,0,28.0,3,27,15,7,2.0,3.0,3.0
169,1571.0000000000002,3,4,30,0,0,2,10,2,1,1,3,2,2,188800,0.0,22,1,12.0,3,11,6,7,3.0,4.0,2.0
170,1816.0000000000002,3,4,60,0,1,1,16,3,1,0,4,2,1,23390,4.0,20,0,22.0,4,18,13,11,3.0,1.0,4.0
171,1943.9999999999998,2,3,47,0,2,1,1,3,5,1,5,4,0,135700,5.0,16,2,20.0,2,5,0,4,1.0,4.0,3.0
172,1699.7999999999997,2,4,46,0,2,2,4,1,5,1,1,2,1,67120,6.0,21,1,26.0,3,3,0,1,1.0,3.0,1.0
173,1611.4,3,3,35,0,2,1,15,2,3,0,2,2,2,54060,0.0,12,1,6.0,2,5,4,3,4.0,3.0,3.0
174,1915.3999999999996,3,3,54,0,2,1,2,4,3,1,2,1,2,89380,7.0,11,3,19.0,2,1,0,0,3.0,3.0,3.0
175,1885.3999999999999,4,3,34,0,2,2,8,2,1,1,1,2,0,24390,3.0,11,2,14.0,2,7,5,7,4.0,3.0,3.0
176,2291.2,2,3,46,0,2,1,2,3,1,1,1,0,1,88370,2.0,18,0,15.0,3,3,1,2,3.0,4.0,3.0
177,1593.4,3,3,31,0,2,1,7,3,1,1,2,5,0,53430,1.0,14,1,13.0,3,13,0,8,3.0,2.0,4.0
178,2112.7999999999997,2,4,33,1,2,1,10,3,1,0,4,5,1,67280,7.0,22,0,15.0,2,7,7,7,2.0,3.0,4.0
179,1736.2,3,4,33,1,2,2,5,4,2,1,2,5,0,66520,7.0,25,0,8.0,5,4,1,3,1.0,4.0,3.0
180,1613.3999999999999,3,3,30,0,2,1,2,3,1,1,1,7,2,48500,0.0,12,1,4.0,4,3,1,2,4.0,2.0,3.0
181,2206.4000000000005,1,4,35,0,2,1,12,2,3,0,2,8,1,28090,4.0,23,1,10.0,2,8,0,0,4.0,3.0,3.0
182,1632.5999999999997,2,3,31,1,1,1,22,2,3,0,2,7,1,56890,3.0,15,2,12.0,2,1,0,0,1.0,3.0,3.0
183,2720.0,4,4,34,1,1,2,17,1,2,1,1,5,0,20010,9.0,22,1,11.0,5,3,0,2,2.0,1.0,3.0
184,1936.3999999999996,2,3,42,0,1,1,2,4,3,0,1,6,1,29770,4.0,15,3,8.0,3,2,2,0,2.0,3.0,3.0
185,1811.8000000000004,3,3,36,0,0,1,3,4,3,1,1,6,2,40250,1.0,11,0,10.0,3,10,9,7,2.0,4.0,2.0
186,1583.1999999999998,3,3,22,1,1,1,7,3,3,0,2,2,2,37850,5.0,13,2,4.0,2,2,1,2,3.0,3.0,3.0
187,1682.1999999999998,3,3,48,0,2,1,6,3,3,1,1,2,1,108540,2.0,14,1,14.0,6,9,6,7,2.0,4.0,3.0
188,1842.6,3,3,55,0,2,1,1,3,3,0,1,7,2,120310,3.0,11,0,37.0,5,10,7,7,1.0,2.0,3.0
189,1541.0000000000005,2,3,41,0,0,1,3,2,1,0,2,6,2,99360,7.0,17,1,16.0,2,14,1,10,4.0,4.0,3.0
190,1487.1999999999998,2,3,35,0,2,1,22,3,3,0,1,8,1,29660,9.0,18,0,15.0,2,11,6,9,2.0,3.0,3.0
191,1829.1999999999998,3,3,40,0,2,1,15,3,1,0,2,2,2,25710,7.0,14,0,22.0,1,20,5,13,2.0,3.0,3.0
192,1773.2000000000003,3,3,39,0,1,1,12,1,3,1,1,6,1,99910,1.0,16,1,8.0,3,8,0,7,3.0,3.0,3.0
