Attrition,Total Hours Worked,Age,Department,EducationField,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
0,1640.2,31.0,1.0,3.0,0.0,46840.0,1.0,16.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0
1,2571.9999999999995,26.0,1.0,3.0,2.0,157870.0,1.0,12.0,8.0,5.0,8.0,7.0,4.0,4.0,4.0,3.0
0,2480.0,37.0,2.0,2.0,1.0,15140.0,1.0,14.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0
0,1498.5999999999997,42.0,2.0,2.0,1.0,29560.0,5.0,13.0,23.0,2.0,20.0,4.0,8.0,3.0,2.0,4.0
1,1682.9999999999998,18.0,1.0,1.0,2.0,23350.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0
0,1916.6,35.0,2.0,1.0,1.0,51540.0,0.0,19.0,12.0,2.0,11.0,6.0,9.0,3.0,2.0,2.0
0,1792.4,36.0,1.0,4.0,1.0,69620.0,4.0,12.0,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0
0,1879.8,51.0,1.0,1.0,0.0,56750.0,5.0,13.0,13.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0
0,1721.8,41.0,1.0,1.0,2.0,23790.0,1.0,12.0,22.0,6.0,22.0,0.0,4.0,4.0,2.0,3.0
0,1747.2,18.0,2.0,1.0,2.0,38120.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0
0,1804.6,28.0,1.0,3.0,2.0,46480.0,0.0,23.0,9.0,2.0,8.0,0.0,7.0,2.0,1.0,3.0
0,1786.8000000000002,31.0,1.0,5.0,1.0,29360.0,4.0,12.0,10.0,2.0,8.0,7.0,7.0,2.0,4.0,2.0
0,1895.0,39.0,2.0,2.0,0.0,21050.0,0.0,20.0,19.0,3.0,18.0,3.0,7.0,3.0,4.0,2.0
0,1949.8,36.0,1.0,1.0,1.0,85780.0,7.0,21.0,11.0,4.0,9.0,0.0,8.0,2.0,2.0,3.0
0,1730.8000000000002,32.0,2.0,2.0,1.0,27060.0,1.0,21.0,13.0,4.0,13.0,4.0,8.0,4.0,3.0,2.0
0,1709.1999999999998,38.0,1.0,1.0,1.0,63840.0,3.0,19.0,19.0,4.0,10.0,0.0,1.0,1.0,2.0,3.0
0,2715.2000000000003,58.0,1.0,1.0,0.0,39680.0,2.0,13.0,12.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0
0,2289.4,31.0,1.0,5.0,1.0,99070.0,0.0,13.0,6.0,3.0,5.0,0.0,3.0,3.0,4.0,3.0
0,1695.8,31.0,2.0,2.0,1.0,132250.0,3.0,21.0,9.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0
0,1820.2000000000005,45.0,1.0,3.0,0.0,35400.0,1.0,13.0,24.0,6.0,24.0,9.0,11.0,1.0,1.0,3.0
0,2146.6,31.0,2.0,2.0,0.0,28040.0,0.0,19.0,3.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0
0,1688.9999999999995,33.0,1.0,1.0,1.0,193920.0,6.0,12.0,12.0,3.0,10.0,8.0,8.0,4.0,2.0,3.0
0,2744.2,39.0,2.0,1.0,1.0,196650.0,1.0,22.0,21.0,6.0,21.0,11.0,10.0,3.0,1.0,3.0
0,1913.4,43.0,1.0,3.0,2.0,24390.0,0.0,15.0,9.0,2.0,8.0,1.0,7.0,3.0,4.0,3.0
0,2476.0,49.0,1.0,1.0,2.0,73140.0,7.0,22.0,25.0,2.0,7.0,0.0,7.0,3.0,3.0,3.0
1,1971.7999999999995,52.0,1.0,1.0,1.0,47740.0,2.0,18.0,11.0,2.0,8.0,7.0,7.0,3.0,2.0,2.0
0,2649.8,27.0,1.0,3.0,2.0,39020.0,1.0,22.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0
0,2615.4,32.0,1.0,1.0,1.0,26620.0,1.0,11.0,13.0,6.0,13.0,11.0,9.0,3.0,2.0,3.0
0,2506.6,27.0,1.0,3.0,2.0,28560.0,1.0,12.0,5.0,5.0,5.0,0.0,4.0,4.0,3.0,3.0
0,1645.4,31.0,2.0,1.0,0.0,10810.0,4.0,11.0,13.0,4.0,7.0,1.0,7.0,4.0,4.0,3.0
0,1872.4,32.0,1.0,5.0,2.0,24720.0,7.0,13.0,10.0,2.0,7.0,0.0,7.0,1.0,4.0,2.0
1,2665.6,28.0,1.0,3.0,1.0,56730.0,5.0,14.0,5.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0
0,1537.6000000000004,30.0,1.0,1.0,1.0,41970.0,1.0,13.0,11.0,3.0,10.0,1.0,9.0,4.0,4.0,3.0
0,1636.7999999999995,31.0,1.0,1.0,1.0,97130.0,1.0,17.0,10.0,5.0,10.0,8.0,9.0,3.0,3.0,3.0
0,1520.0000000000002,39.0,1.0,3.0,1.0,20620.0,1.0,13.0,21.0,4.0,21.0,13.0,3.0,3.0,4.0,3.0
1,2484.8,39.0,1.0,3.0,1.0,42840.0,4.0,17.0,12.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0
0,1845.8000000000004,33.0,2.0,1.0,2.0,47880.0,3.0,11.0,9.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0
0,1614.2,47.0,1.0,1.0,1.0,59060.0,4.0,23.0,21.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0
0,1572.6,43.0,1.0,3.0,0.0,38860.0,1.0,17.0,9.0,2.0,9.0,0.0,0.0,3.0,3.0,4.0
0,2314.2000000000003,27.0,1.0,1.0,1.0,168230.0,0.0,17.0,6.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0
0,1505.2,54.0,1.0,1.0,2.0,29330.0,3.0,12.0,20.0,2.0,4.0,0.0,3.0,4.0,3.0,2.0
0,1794.0000000000002,43.0,1.0,1.0,1.0,65000.0,8.0,23.0,10.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0
0,1772.0,45.0,2.0,2.0,1.0,171740.0,9.0,14.0,12.0,6.0,10.0,9.0,8.0,4.0,4.0,3.0
0,2458.8,40.0,1.0,4.0,1.0,50330.0,2.0,14.0,6.0,6.0,4.0,0.0,2.0,2.0,4.0,2.0
1,2610.2000000000003,29.0,1.0,3.0,1.0,23070.0,1.0,13.0,7.0,0.0,7.0,0.0,7.0,2.0,1.0,2.0
0,1701.6,29.0,0.0,3.0,2.0,25870.0,0.0,22.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0
0,1895.8,30.0,1.0,1.0,0.0,55070.0,1.0,12.0,10.0,2.0,10.0,1.0,2.0,4.0,3.0,3.0
0,1513.2,27.0,1.0,3.0,1.0,43930.0,1.0,18.0,8.0,2.0,8.0,0.0,7.0,2.0,2.0,3.0
0,1507.6,37.0,2.0,1.0,0.0,133480.0,7.0,14.0,8.0,4.0,6.0,0.0,4.0,4.0,4.0,2.0
0,2229.4,38.0,1.0,3.0,0.0,65830.0,0.0,12.0,12.0,1.0,11.0,2.0,9.0,3.0,4.0,3.0
0,2584.2,31.0,1.0,3.0,2.0,81030.0,1.0,15.0,11.0,5.0,11.0,4.0,10.0,3.0,4.0,3.0
0,2099.2,29.0,1.0,1.0,0.0,39780.0,1.0,11.0,7.0,0.0,7.0,1.0,7.0,4.0,2.0,3.0
0,1971.8,35.0,2.0,5.0,2.0,25440.0,0.0,13.0,17.0,3.0,16.0,0.0,13.0,3.0,2.0,3.0
0,1769.2,23.0,1.0,1.0,0.0,53990.0,1.0,23.0,4.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0
0,2401.6,41.0,1.0,1.0,2.0,54870.0,6.0,19.0,8.0,0.0,5.0,1.0,2.0,4.0,2.0,3.0
0,1943.4,47.0,2.0,3.0,2.0,68340.0,3.0,16.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0
0,1565.8000000000002,42.0,1.0,1.0,2.0,10910.0,2.0,22.0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0
0,1558.6000000000004,29.0,2.0,2.0,1.0,57360.0,1.0,22.0,4.0,1.0,4.0,0.0,2.0,4.0,3.0,2.0
0,2193.4,42.0,2.0,3.0,0.0,22260.0,0.0,12.0,4.0,3.0,3.0,1.0,0.0,3.0,3.0,3.0
0,1927.4,32.0,1.0,3.0,1.0,57470.0,1.0,13.0,8.0,0.0,8.0,0.0,7.0,3.0,2.0,3.0
0,1815.6,48.0,2.0,3.0,1.0,98540.0,3.0,16.0,15.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0
0,2691.4,37.0,1.0,5.0,0.0,54670.0,4.0,12.0,13.0,2.0,7.0,6.0,7.0,3.0,1.0,3.0
0,2600.0,30.0,2.0,4.0,1.0,53800.0,7.0,21.0,4.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0
0,1502.4,26.0,2.0,3.0,1.0,51510.0,1.0,15.0,8.0,3.0,8.0,7.0,7.0,3.0,3.0,3.0
0,1529.0,42.0,2.0,3.0,2.0,21330.0,3.0,13.0,14.0,2.0,1.0,0.0,0.0,1.0,4.0,3.0
1,2030.8,21.0,1.0,3.0,2.0,178750.0,1.0,12.0,3.0,5.0,3.0,1.0,2.0,1.0,2.0,3.0
0,1814.0000000000005,36.0,0.0,0.0,2.0,24320.0,4.0,22.0,7.0,4.0,1.0,0.0,0.0,4.0,4.0,3.0
0,1766.6,36.0,1.0,1.0,1.0,47710.0,4.0,13.0,16.0,2.0,13.0,1.0,12.0,1.0,4.0,3.0
0,1571.6,57.0,1.0,1.0,1.0,191610.0,2.0,18.0,15.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0
0,2018.4,40.0,1.0,4.0,1.0,50870.0,3.0,14.0,10.0,3.0,7.0,1.0,7.0,4.0,3.0,3.0
0,1987.0,21.0,1.0,1.0,2.0,28630.0,1.0,14.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0
1,2614.5999999999995,33.0,0.0,0.0,2.0,55610.0,1.0,21.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0
0,2003.8,37.0,1.0,1.0,1.0,21440.0,6.0,19.0,17.0,3.0,5.0,0.0,3.0,3.0,1.0,3.0
0,1519.8000000000002,46.0,2.0,2.0,1.0,30650.0,2.0,11.0,7.0,3.0,1.0,0.0,0.0,3.0,3.0,4.0
1,1885.8,41.0,1.0,3.0,2.0,28100.0,1.0,11.0,8.0,3.0,8.0,7.0,7.0,1.0,2.0,3.0
0,1717.6,50.0,1.0,3.0,2.0,98880.0,6.0,15.0,20.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0
1,2318.8,40.0,1.0,3.0,1.0,86280.0,2.0,20.0,8.0,2.0,6.0,1.0,0.0,3.0,3.0,3.0
0,2682.8,31.0,1.0,1.0,2.0,28670.0,0.0,24.0,3.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0
1,1493.2,21.0,0.0,0.0,2.0,53730.0,1.0,12.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0
0,1946.4,29.0,1.0,1.0,2.0,66670.0,9.0,12.0,6.0,6.0,3.0,1.0,2.0,4.0,4.0,3.0
0,1921.6,35.0,1.0,1.0,2.0,50030.0,9.0,15.0,10.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0
0,1536.0,27.0,2.0,1.0,0.0,23670.0,2.0,12.0,5.0,2.0,5.0,0.0,4.0,4.0,2.0,3.0
0,1777.6,28.0,1.0,3.0,2.0,28580.0,1.0,12.0,7.0,2.0,7.0,0.0,7.0,2.0,4.0,3.0
0,1945.4,49.0,2.0,5.0,2.0,52040.0,8.0,14.0,26.0,3.0,5.0,0.0,0.0,2.0,3.0,3.0
0,1897.2,51.0,1.0,1.0,1.0,41050.0,4.0,22.0,18.0,2.0,7.0,0.0,7.0,3.0,4.0,2.0
0,1498.4,36.0,2.0,1.0,1.0,96790.0,4.0,12.0,6.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0
1,2276.0,34.0,1.0,1.0,2.0,56170.0,8.0,25.0,9.0,3.0,5.0,0.0,4.0,1.0,4.0,2.0
0,2155.2,55.0,2.0,2.0,2.0,104480.0,2.0,13.0,30.0,3.0,5.0,1.0,2.0,3.0,4.0,3.0
0,2499.4,24.0,1.0,1.0,0.0,28970.0,1.0,18.0,5.0,4.0,5.0,0.0,3.0,4.0,3.0,4.0
0,1724.2,30.0,1.0,1.0,1.0,59680.0,1.0,13.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,3.0
1,1739.0,26.0,2.0,1.0,2.0,75100.0,0.0,18.0,7.0,3.0,6.0,0.0,4.0,3.0,4.0,3.0
0,1567.4,22.0,1.0,4.0,1.0,29910.0,1.0,19.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0
0,1591.0000000000002,36.0,1.0,3.0,1.0,196360.0,1.0,12.0,10.0,3.0,10.0,9.0,0.0,2.0,3.0,3.0
1,2051.6000000000004,30.0,2.0,2.0,2.0,11290.0,9.0,19.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0
0,1615.8,37.0,1.0,5.0,0.0,133410.0,1.0,14.0,18.0,3.0,18.0,12.0,17.0,4.0,1.0,2.0
0,1656.6,40.0,1.0,3.0,0.0,43320.0,7.0,14.0,8.0,3.0,5.0,1.0,3.0,4.0,2.0,3.0
0,1860.9999999999995,42.0,1.0,3.0,0.0,110310.0,3.0,12.0,8.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0
0,2469.2,37.0,2.0,2.0,2.0,44400.0,2.0,11.0,18.0,3.0,1.0,0.0,1.0,3.0,2.0,2.0
0,1858.0,43.0,2.0,1.0,0.0,46170.0,1.0,11.0,25.0,2.0,25.0,3.0,9.0,1.0,2.0,3.0
0,1868.8,40.0,2.0,1.0,1.0,26470.0,6.0,13.0,20.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0
0,1494.4000000000003,54.0,0.0,1.0,1.0,63230.0,4.0,23.0,24.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0
0,1699.5999999999997,34.0,1.0,3.0,1.0,56770.0,9.0,20.0,6.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0
0,1531.8,31.0,1.0,1.0,1.0,21870.0,1.0,15.0,13.0,2.0,13.0,3.0,12.0,2.0,1.0,1.0
0,1900.3999999999996,43.0,2.0,1.0,1.0,37480.0,7.0,14.0,10.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0
0,2216.4,43.0,2.0,1.0,0.0,39770.0,4.0,18.0,8.0,3.0,5.0,0.0,2.0,3.0,3.0,3.0
0,2703.6,25.0,0.0,0.0,2.0,86330.0,1.0,19.0,5.0,2.0,5.0,1.0,3.0,2.0,4.0,3.0
0,2654.4000000000005,37.0,1.0,3.0,1.0,20080.0,3.0,22.0,15.0,5.0,13.0,10.0,7.0,2.0,3.0,3.0
0,1744.9999999999998,31.0,1.0,3.0,1.0,44400.0,1.0,13.0,4.0,2.0,4.0,3.0,2.0,4.0,1.0,3.0
0,2245.6,39.0,1.0,5.0,0.0,30670.0,1.0,20.0,21.0,5.0,21.0,1.0,6.0,2.0,3.0,3.0
0,1832.2,56.0,1.0,1.0,1.0,53210.0,9.0,14.0,36.0,1.0,7.0,7.0,7.0,3.0,1.0,2.0
0,1896.6,30.0,2.0,3.0,2.0,54100.0,0.0,17.0,6.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0
0,1637.4,41.0,1.0,5.0,1.0,27820.0,1.0,14.0,10.0,2.0,10.0,0.0,7.0,2.0,1.0,3.0
0,1548.0000000000002,28.0,1.0,3.0,0.0,119570.0,1.0,13.0,10.0,2.0,10.0,1.0,8.0,3.0,1.0,3.0
1,1604.6,25.0,1.0,1.0,1.0,26600.0,5.0,13.0,6.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0
0,2047.4,52.0,1.0,1.0,1.0,33750.0,2.0,21.0,28.0,2.0,5.0,0.0,4.0,4.0,3.0,3.0
0,1682.4,45.0,1.0,3.0,1.0,50980.0,3.0,14.0,8.0,4.0,2.0,0.0,2.0,1.0,4.0,2.0
0,1831.4000000000003,52.0,1.0,3.0,1.0,48780.0,2.0,11.0,31.0,3.0,5.0,1.0,4.0,4.0,4.0,1.0
0,1705.4,42.0,2.0,2.0,0.0,28370.0,2.0,13.0,19.0,0.0,5.0,0.0,2.0,1.0,3.0,3.0
0,1817.6,30.0,2.0,2.0,2.0,24060.0,2.0,20.0,11.0,5.0,5.0,0.0,2.0,3.0,4.0,3.0
0,1538.6,60.0,1.0,1.0,1.0,22690.0,5.0,18.0,33.0,4.0,29.0,11.0,10.0,1.0,1.0,1.0
0,1885.6,46.0,2.0,2.0,0.0,41080.0,2.0,14.0,19.0,5.0,10.0,0.0,8.0,3.0,3.0,2.0
0,1634.7999999999995,42.0,1.0,5.0,1.0,132060.0,0.0,13.0,7.0,2.0,6.0,0.0,4.0,4.0,4.0,4.0
1,2645.2000000000003,24.0,1.0,3.0,2.0,104220.0,1.0,17.0,6.0,0.0,5.0,1.0,4.0,1.0,2.0,3.0
1,1536.6,34.0,1.0,3.0,0.0,137440.0,0.0,20.0,3.0,3.0,2.0,1.0,0.0,4.0,3.0,2.0
0,2130.2000000000003,38.0,2.0,2.0,1.0,49070.0,1.0,11.0,1.0,3.0,1.0,0.0,0.0,4.0,4.0,3.0
0,1495.8,40.0,2.0,2.0,1.0,34820.0,0.0,18.0,21.0,2.0,20.0,1.0,12.0,3.0,3.0,3.0
0,1567.6,26.0,1.0,3.0,0.0,24360.0,1.0,24.0,3.0,2.0,3.0,0.0,2.0,1.0,4.0,1.0
0,1959.8,30.0,1.0,3.0,1.0,23800.0,4.0,18.0,9.0,2.0,5.0,1.0,4.0,3.0,4.0,1.0
0,1786.0,29.0,1.0,3.0,1.0,194310.0,1.0,11.0,10.0,3.0,10.0,0.0,7.0,2.0,3.0,3.0
1,1650.0,29.0,1.0,1.0,1.0,17900.0,5.0,16.0,6.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0
1,1953.6,19.0,1.0,3.0,2.0,76440.0,1.0,15.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0
0,1675.0000000000002,30.0,1.0,1.0,1.0,51310.0,0.0,15.0,10.0,2.0,9.0,7.0,8.0,3.0,1.0,3.0
0,1568.0000000000005,57.0,1.0,1.0,0.0,63060.0,3.0,12.0,32.0,3.0,1.0,0.0,0.0,1.0,4.0,2.0
0,1801.4,50.0,2.0,1.0,1.0,47870.0,0.0,12.0,28.0,3.0,27.0,15.0,7.0,2.0,3.0,3.0
0,1571.0000000000002,30.0,2.0,1.0,2.0,188800.0,0.0,22.0,12.0,3.0,11.0,6.0,7.0,3.0,4.0,2.0
0,1816.0,60.0,1.0,1.0,1.0,23390.0,4.0,20.0,22.0,4.0,18.0,13.0,11.0,3.0,1.0,4.0
0,1944.0,47.0,1.0,5.0,0.0,135700.0,5.0,16.0,20.0,2.0,5.0,0.0,4.0,1.0,4.0,3.0
0,1699.7999999999995,46.0,2.0,5.0,1.0,67120.0,6.0,21.0,26.0,3.0,3.0,0.0,1.0,1.0,3.0,1.0
0,1611.4,35.0,1.0,3.0,2.0,54060.0,0.0,12.0,6.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0
0,1915.4,54.0,1.0,3.0,2.0,89380.0,7.0,11.0,19.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0
0,1885.4,34.0,2.0,1.0,0.0,24390.0,3.0,11.0,14.0,2.0,7.0,5.0,7.0,4.0,3.0,3.0
0,2291.2,46.0,1.0,1.0,1.0,88370.0,2.0,18.0,15.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0
0,1593.4,31.0,1.0,1.0,0.0,53430.0,1.0,14.0,13.0,3.0,13.0,0.0,8.0,3.0,2.0,4.0
1,2112.8,33.0,1.0,1.0,1.0,67280.0,7.0,22.0,15.0,2.0,7.0,7.0,7.0,2.0,3.0,4.0
1,1736.2,33.0,2.0,2.0,0.0,66520.0,7.0,25.0,8.0,5.0,4.0,1.0,3.0,1.0,4.0,3.0
0,1613.4,30.0,1.0,1.0,2.0,48500.0,0.0,12.0,4.0,4.0,3.0,1.0,2.0,4.0,2.0,3.0
0,2206.4000000000005,35.0,1.0,3.0,1.0,28090.0,4.0,23.0,10.0,2.0,8.0,0.0,0.0,4.0,3.0,3.0
1,1632.5999999999997,31.0,1.0,3.0,1.0,56890.0,3.0,15.0,12.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0
1,2720.0,34.0,2.0,2.0,0.0,20010.0,9.0,22.0,11.0,5.0,3.0,0.0,2.0,2.0,1.0,3.0
0,1936.4,42.0,1.0,3.0,1.0,29770.0,4.0,15.0,8.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0
0,1811.8000000000004,36.0,1.0,3.0,2.0,40250.0,1.0,11.0,10.0,3.0,10.0,9.0,7.0,2.0,4.0,2.0
1,1583.1999999999998,22.0,1.0,3.0,2.0,37850.0,5.0,13.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0
0,1682.1999999999998,48.0,1.0,3.0,1.0,108540.0,2.0,14.0,14.0,6.0,9.0,6.0,7.0,2.0,4.0,3.0
0,1842.6,55.0,1.0,3.0,2.0,120310.0,3.0,11.0,37.0,5.0,10.0,7.0,7.0,1.0,2.0,3.0
0,1541.0000000000005,41.0,1.0,1.0,2.0,99360.0,7.0,17.0,16.0,2.0,14.0,1.0,10.0,4.0,4.0,3.0
0,1487.1999999999998,35.0,1.0,3.0,1.0,29660.0,9.0,18.0,15.0,2.0,11.0,6.0,9.0,2.0,3.0,3.0
0,1829.2,40.0,1.0,1.0,2.0,25710.0,7.0,14.0,22.0,1.0,20.0,5.0,13.0,2.0,3.0,3.0
0,1773.2000000000005,39.0,1.0,3.0,1.0,99910.0,1.0,16.0,8.0,3.0,8.0,0.0,7.0,3.0,3.0,3.0
0,2165.6000000000004,31.0,1.0,1.0,2.0,61420.0,4.0,13.0,10.0,2.0,6.0,0.0,5.0,2.0,4.0,4.0
0,2699.5999999999995,42.0,1.0,3.0,1.0,53900.0,1.0,14.0,10.0,3.0,10.0,5.0,8.0,4.0,1.0,2.0
0,1846.6,45.0,1.0,3.0,1.0,44040.0,0.0,23.0,9.0,2.0,8.0,3.0,7.0,4.0,2.0,4.0
1,2288.4,26.0,1.0,1.0,0.0,59930.0,0.0,12.0,8.0,3.0,7.0,1.0,0.0,3.0,3.0,2.0
0,1833.4,29.0,1.0,3.0,0.0,51300.0,4.0,11.0,8.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0
